vector,color,brand
"[0.5903813822087937, 0.5844189264769393, 0.45171928021647123, 0.3673363726090799, 0.8400845238259358, 0.05931457375966376, 0.8416173227292503, 0.2667473532422132, 0.20905057140453076, 0.39673707764227584, 0.4263142486652426, 0.24769310607116546, 0.03817768809850686, 0.39170212011905736, 0.23428377824125313, 0.3263399924585316, 0.3049606947021243, 0.953984562638752, 0.19327482318008082, 0.8392215293731916, 0.9571937532411428, 0.9796081597844637, 0.27687770042940507, 0.4788269932288194, 0.15244917208438746, 0.1993328571056333, 0.4998841585599725, 0.5018159967329463, 0.4973490903946296, 0.22105732157044156, 0.6477497849959769, 0.3728665020605917, 0.4362215877806148, 0.6723078695904221, 0.09662147883374994, 0.8472911639231443, 0.8062559992784981, 0.33135424397455093, 0.9814847660772632, 0.8536087245511114, 0.8155581588642565, 0.9021042541463656, 0.27343249855808327, 0.5414599955574751, 0.10043503283423927, 0.24937670839445236, 0.7762302560770787, 0.1781159960509402, 0.7553433115350819, 0.2188372110111212, 0.1968024142604029, 0.5834832665807334, 0.5010043883671029, 0.14261970591876105, 0.6274042010304104, 0.516131939855179, 0.6973877019075205, 0.31953558696876905, 0.1637948432470242, 0.880597987436042, 0.2390301100505472, 0.07502026099044024, 0.37431442279994775, 0.08675283713075144, 0.3049837624438748, 0.6506861693876415, 0.8263776016957909, 0.6690966099173719, 0.22078905475043276, 0.5230316563027603, 0.7688572099815782, 0.6377471777682722, 0.025770068070359975, 0.5537377000431439, 0.44885997415858525, 0.13777906102134696, 0.23382292929344073, 0.9826034172731181, 0.363889024361689, 0.5213164421461309, 0.25824281038631447, 0.19288315890904106, 0.5210679093262311, 0.4866931043614684, 0.3746193381744113, 0.22748177628462418, 0.30095038044137556, 0.4314108075620513, 0.2879256552887046, 0.33636638323666546, 0.7028063243896363, 0.010138470212370354, 0.6093736043447939, 0.44572963881825456, 0.20445774401519579, 0.6421247093377793, 0.42263739890704477, 0.4430071927716037, 0.3769039951834855, 0.3562556851763391, 0.2362817493931587, 0.34921383134443007, 0.3722912065363603, 0.6389485195739735, 0.052817852003435584, 0.8438437701061954, 0.10334852600868072, 0.6530622950705662, 0.07167347923731682, 0.47726827643864655, 0.11730350432614511, 0.14688621891771925, 0.6630545566404334, 0.6574769062242878, 0.6174033126028854, 0.25979350171892013, 0.13392093913170022, 0.20037045405323983, 0.9353614769252003, 0.821681305868557, 0.37417019581396893, 0.0852801793659339, 0.9523390351347677, 0.48337745155286305, 0.48628127310306735, 0.27863765357762216, 0.6606977119885489, 0.8194761839982453]",2010,10
"[0.3108635186784442, 0.7438719637040563, 0.2585606654318333, 0.8989128685905703, 0.15137797533254937, 0.714997538216955, 0.8443252821360816, 0.33244857990737453, 0.191514939859036, 0.7699778339026615, 0.0732660645847929, 0.28015166738772357, 0.5293246594413178, 0.6280739426848595, 0.33430409088006896, 0.24474693710304685, 0.028318489551771076, 0.4622389207946265, 0.8633930724659035, 0.21342241359284442, 0.3866003921732106, 0.34444566199414817, 0.23479290331183622, 0.6626673909549983, 0.6100296310808901, 0.9356378490181644, 0.25960941878470845, 0.820420863966457, 0.41133136850838026, 0.8904603110883433, 0.7442577529285783, 0.5697596796130465, 0.0829924623553876, 0.0037309366657310994, 0.2914908240031786, 0.661604003154906, 0.3877965082926056, 0.3015670403707945, 0.016071617523103154, 0.9073944019407214, 0.9196915499527065, 0.8137143164464236, 0.9367231437869193, 0.16510323219705592, 0.40113664801209825, 0.8906850018320092, 0.45883654616731007, 0.4870903748009955, 0.27642353414914667, 0.9025943373903875, 0.514723183029653, 0.7239876482448139, 0.006212456644979492, 0.652251967267961, 0.2761481915571925, 0.2903864482601486, 0.7211269791914575, 0.5656294227127454, 0.4948106445875682, 0.07641558579012808, 0.8637911989971883, 0.3192386526562988, 0.8339417718303064, 0.2727094161230351, 0.9095738091174742, 0.4031058249800762, 0.6800063486511388, 0.8789480549767698, 0.5084480565548267, 0.9138488636481704, 0.04619056187959225, 0.560425180160976, 0.8228531250392529, 0.10676151110665644, 0.4443652110199354, 0.07267518995450828, 0.23478157198215255, 0.770632133897094, 0.8888275317870894, 0.6822096377854273, 0.8464190054266884, 0.3675636302316465, 0.15384665594184277, 0.2831313168681723, 0.20808944925387174, 0.04227967050402048, 0.8723673503310869, 0.3541154159320754, 0.6762434173581812, 0.8242852411442967, 0.32930969147627875, 0.23567381770324036, 0.8018943227733208, 0.9074910566472765, 0.18918704232774264, 0.805258018138816, 0.7230658934090007, 0.20566896996643003, 0.7115251531870992, 0.25056865515485227, 0.9115596303503636, 0.7163083657742542, 0.803050991411465, 0.9652885189611685, 0.55848908879902, 0.986430553375998, 0.4197464438152355, 0.558186844200173, 0.9038322082504449, 0.012255741024506772, 0.5588271857887009, 0.7318148659039482, 0.5499746341540972, 0.6025876720554744, 0.6222498293969967, 0.3685933727730628, 0.5821993407789359, 0.9852633615533969, 0.5116730763554806, 0.4623574765583538, 0.10193005238282682, 0.9232995281902288, 0.06287599874360472, 0.7788622729532891, 0.18277612583637348, 0.5872483834362722, 0.7299086584166905, 0.07587453725406446]",2011,11
"[0.1438963455311405, 0.6600286812677494, 0.8525853559416957, 0.8949502616825367, 0.011449636517736561, 0.17928524120805156, 0.7777798566338106, 0.46409555105336664, 0.9899345687942815, 0.1960554371662654, 0.626867896816596, 0.23413760982168386, 0.3822700371919179, 0.16609434667103395, 0.462755970469343, 0.7788288760250202, 0.7471090423695306, 0.8334581231151457, 0.9077289653440233, 0.16528488930420315, 0.21760524110364732, 0.9999695341456835, 0.9017892804615691, 0.10030997908496753, 0.842063980204118, 0.7406861685160426, 0.5005183193112546, 0.8538494673833184, 0.18099418427367087, 0.5770953032759341, 0.14161929592063072, 0.018536001410511593, 0.9283937111602192, 0.6195431258641616, 0.45884942910415205, 0.4969071238586874, 0.7594492329816678, 0.9545386543287939, 0.673801279741304, 0.7365084405717086, 0.22935768235945064, 0.9948849764273583, 0.9914699224726058, 0.748848136477595, 0.5482534237909251, 0.08328832589528246, 0.03146051906001801, 0.3588606219039202, 0.7365735018683022, 0.9194589096607797, 0.3095902024264372, 0.7292598048178608, 0.11914488978947912, 0.371440261852123, 0.828026738690907, 0.48424925663465723, 0.8321315417080427, 0.09747868120917635, 0.13990472332610404, 0.2081094424646882, 0.7602210823529888, 0.855060239850147, 0.6258227495978972, 0.5519826946235334, 0.43726564753602515, 0.34971264113119194, 0.02980226210862902, 0.46215525580452543, 0.8676232875943715, 0.4729221766599535, 0.40977738549127185, 0.5775916392100799, 0.1865121649015833, 0.6028627820481764, 0.985349306724321, 0.5979867656491932, 0.26900924576425544, 0.4912620098166587, 0.9702988052846631, 0.579294962251702, 0.49289419575812665, 0.6547636212031175, 0.10819390043010824, 0.26667847792697164, 0.6004782496151031, 0.7610179192370025, 0.06732038233701454, 0.905287066783253, 0.09534009045494307, 0.9453177384992364, 0.7436221323021792, 0.6119007343906975, 0.4610310872325827, 0.005729454507821252, 0.7781676440569851, 0.5893112604089734, 0.4851296826718886, 0.7569103959354346, 0.5843748325414774, 0.9252454051473766, 0.8803664183139971, 0.1804655708355326, 0.5917856687749694, 0.035743391126599744, 0.6753997504400113, 0.8798019688192473, 0.9825910961029973, 0.5525799766168862, 0.3123417239880584, 0.27569293012609275, 0.5130034895941336, 0.6425973082052043, 0.8039492692035328, 0.34968974699529753, 0.6926580932791805, 0.9164544108399061, 0.8261390165871952, 0.2666644602672673, 0.6661225701342375, 0.281855422777489, 0.4698051755979218, 0.7370962531105794, 0.2675270079814076, 0.4630608651691608, 0.2456622313925665, 0.5740665586952592, 0.5947413361457883, 0.26589797938780424]",2012,12
"[0.06196728910135729, 0.1926248907398408, 0.5644528235522656, 0.22618430155801483, 0.5290907090220931, 0.5257949067005929, 0.0976485722384417, 0.854280259698732, 0.5321740209096131, 0.768686145143265, 0.7937274786652764, 0.42132647679970525, 0.046764210027940845, 0.6701430628145525, 0.5596147993370905, 0.7875462381836676, 0.7725758251849317, 0.2227044383762643, 0.6154275818042593, 0.9024169802355587, 0.8249713401625084, 0.9557478666602232, 0.5698274099783893, 0.3680753707137283, 0.41084319851083695, 0.27365624696757973, 0.7044222623453618, 0.808623473827735, 0.3854084664112555, 0.3131634884387563, 0.2550116997849955, 0.24303149011906167, 0.5326027709039817, 0.2047179944677605, 0.9118332615263519, 0.3739068106759096, 0.9407058514882458, 0.7395702831734164, 0.797480417864857, 0.328167847769813, 0.04277892922607007, 0.8369224481943142, 0.2940720037735234, 0.6519801211858581, 0.39901938328839115, 0.44952061926018594, 0.05762173740923082, 0.14784109851662963, 0.9121919414752859, 0.6837587168588419, 0.3794698735507358, 0.8342097600928401, 0.7669659858571664, 0.4972988062249638, 0.6498852421440303, 0.11058428754720884, 0.12960699997344483, 0.693875459148693, 0.484625409900754, 0.5372842874054398, 0.22183118916062805, 0.038612651603930015, 0.9876532006650245, 0.8690434125690489, 0.3503509756803528, 0.22265072456488133, 0.8397482085247769, 0.2092487605454174, 0.2425638170594031, 0.7047826575190279, 0.17302622916103583, 0.27423073834367884, 0.28974151113766056, 0.9296916777008201, 0.778052135941854, 0.3638340126879198, 0.5449542916423948, 0.4827256668740305, 0.36034311974623345, 0.5067355939311258, 0.17616871561239356, 0.4299175914361587, 0.36560193850058453, 0.4173835358742152, 0.5307530298710417, 0.2654802812200264, 0.7424583528625596, 0.35479347685856966, 0.42564587250761066, 0.29929860851958956, 0.8285401551599233, 0.4195149786262189, 0.5144312756867337, 0.05465173073869778, 0.8946546765940592, 0.945032541905323, 0.9294821715578356, 0.8458921930630883, 0.9968014607117479, 0.1505315850231297, 0.11355221463039966, 0.746054334795775, 0.5486212555184015, 0.831439768566281, 0.9144986500786884, 0.3822775848646368, 0.13883457722200732, 0.8990997637626654, 0.8922797285545648, 0.8623805560442548, 0.9988147626019586, 0.7188612724619801, 0.1784282517597625, 0.7880720888082385, 0.324867074498589, 0.858707469343082, 0.12747427358789887, 0.8821110666851748, 0.5561933139618919, 0.8069715828360757, 0.48635646034040314, 0.3701649916109808, 0.11028645244785884, 0.9470974578807262, 0.3110072172607292, 0.6695901540124818, 0.852157363851258, 0.10746784931578646]",2013,13
"[0.34724463231633385, 0.41618119259592645, 0.38371738148600076, 0.6138567754515161, 0.9926539287435926, 0.7259977677755142, 0.3686063960418825, 0.16125553362765654, 0.0815317703228341, 0.8567389503245659, 0.7816411614673553, 0.8905940580035921, 0.5791705661439573, 0.40619097174745045, 0.6184944391414888, 0.8697532627624484, 0.9777839863224858, 0.4653366533130513, 0.6005777172901337, 0.9885101704472645, 0.5107992594002607, 0.20050540014801932, 0.842028511275336, 0.40082850931353065, 0.9694969154974313, 0.46346040470130345, 0.9997708214230008, 0.2581529666906237, 0.44433723189437135, 0.29423809002680323, 0.10083252790483133, 0.9032165412807345, 0.8016090202487257, 0.0953614783014517, 0.5621441678844795, 0.6347026541630241, 0.6144539073277626, 0.4327497568508544, 0.19916962953252826, 0.9518150801637544, 0.350982691019724, 0.28137087707397535, 0.3742201189996327, 0.5786112130406722, 0.5429437414452353, 0.7775455510020525, 0.9850086961000503, 0.5182574109229461, 0.7231799472208542, 0.38177131747555393, 0.602228634705394, 0.9547829883037812, 0.8541338804576313, 0.19525980111481378, 0.1907592713287669, 0.020593158302947723, 0.6510968897145498, 0.634062198791961, 0.3729656275136255, 0.4942741074376147, 0.3057466420131276, 0.8598412644622586, 0.2847498128723296, 0.5232168304868138, 0.8172128308357018, 0.4825543797029972, 0.6348325930531967, 0.15050856983848715, 0.30869798324000275, 0.7506668378395388, 0.034615163892522505, 0.7461349927402012, 0.41975677835354297, 0.021804096031766695, 0.376369790589254, 0.8927980796538504, 0.11193647556058406, 0.09572710747747382, 0.7908632909316551, 0.5694273417118423, 0.11951704349141135, 0.13015268579320227, 0.4648728935931654, 0.6569762700654417, 0.04207129828689027, 0.5670808030061771, 0.36497592740832463, 0.5816887983271248, 0.08885270822243474, 0.42642554936990384, 0.9056820306417421, 0.6459821266677817, 0.25528859746955734, 0.5033309742331802, 0.4478932386816564, 0.13324796732948396, 0.5742381619063818, 0.17672395220645787, 0.289979515614714, 0.741214636714731, 0.12859173713468142, 0.2516328378669074, 0.9615575386349039, 0.20033378844127647, 0.0707750962645427, 0.8875549579598471, 0.4710140910124442, 0.8405071517461806, 0.40330258835757793, 0.4634540505624585, 0.6207208411364635, 0.060836367314184514, 0.23260661056725052, 0.4029484719903875, 0.06852986189406629, 0.8681054868775582, 0.3215964922487564, 0.23693169399471137, 0.6108088950045586, 0.05310806781609456, 0.38745479868831145, 0.7078523286276422, 0.3615051823753104, 0.1105780410873527, 0.34876096063998263, 0.3175657387255988, 0.08140695192856007, 0.6882156822249832]",2014,14
"[0.17984229671843388, 0.6758057214753249, 0.9804259626056457, 0.561131828315749, 0.30127520331110125, 0.3078500799367313, 0.9013276390537163, 0.4025235996071238, 0.01149167622172298, 0.2784175006583234, 0.8169427446049929, 0.5490297544771426, 0.8339546839636429, 0.9749958366770952, 0.13043692638334492, 0.8013856028978258, 0.4305240226816862, 0.4323544474013049, 0.9702913176000841, 0.5852985051202336, 0.350151419059608, 0.7887800615558623, 0.5102768970174731, 0.3511014217911824, 0.8455474730040073, 0.9131053362607044, 0.3188404858905166, 0.06270052693076189, 0.7035079797334785, 0.7914630476895905, 0.20218789006992133, 0.24910262526736837, 0.38683181094923713, 0.3271256421308576, 0.9125818851249511, 0.3257128871449585, 0.028626795538192362, 0.8806116534606702, 0.4206364313392911, 0.08473957303626267, 0.2656535227831539, 0.08106177018925487, 0.9343288964074599, 0.9203311040607319, 0.8678931913143196, 0.8093554975626842, 0.3383198706570719, 0.383779646585226, 0.48882619673299965, 0.7991260047339307, 0.7483950948411074, 0.14289495809143682, 0.15969245181423075, 0.650940481462243, 0.3669422072408164, 0.9947100910983845, 0.3427190745215082, 0.01784487067538687, 0.86198894054571, 0.015035390835560714, 0.1555616600390095, 0.19429302937375115, 0.9622965893117378, 0.6598375138298209, 0.5957894819015012, 0.01623224620083663, 0.19616316116435273, 0.9695451604912075, 0.20529663682652544, 0.1430334521282034, 0.622267813771706, 0.31198649552870916, 0.2564825879062249, 0.9274291776612706, 0.1444678263742477, 0.9734142273069353, 0.964032900494597, 0.9230854520087651, 0.2334104138226779, 0.9579438282281443, 0.05272593082206478, 0.2306480818860418, 0.7616825827509914, 0.4585086647961626, 0.5569232153102305, 0.17951173364502537, 0.10951526085890506, 0.08509639411515968, 0.7389527168093883, 0.36297732514369174, 0.6831801026422709, 0.4176947627179156, 0.37147733695894825, 0.46298013608212674, 0.9809186276594627, 0.993701150324012, 0.7939268361473172, 0.5542517207271975, 0.14195942684951668, 0.1741891461034185, 0.8878630305413017, 0.991665273265364, 0.6767701416796092, 0.8510381610031785, 0.3760678857332679, 0.9345704356311729, 0.8685646189632793, 0.3986389196953738, 0.9065607282505546, 0.8633078236365231, 0.7738176840621428, 0.23708346870465058, 0.2968096065190917, 0.522685875842031, 0.2845387153343185, 0.20745879096121267, 0.011155996778510535, 0.4038377982351399, 0.8506405436034227, 0.19673278187764376, 0.19132369802154747, 0.3809311245872953, 0.42680241843233, 0.8810735660823291, 0.4755904729813809, 0.9951028403969794, 0.9162841735251064, 0.19161523088327737]",2015,15
"[0.47907233170636065, 0.5209975468656477, 0.20319602527920888, 0.34380365115720446, 0.31372665011255907, 0.2780169210362393, 0.06948896145592687, 0.04691698631512764, 0.46348679382569624, 0.8576435916725966, 0.05935730872534695, 0.9811586352958156, 0.05594971581450536, 0.23764959716406697, 0.7924949840621187, 0.218353290622597, 0.6475501915252438, 0.3604657013203312, 0.7685279580178492, 0.44686128033128125, 0.671423311272761, 0.9820095687225151, 0.7072886889347569, 0.7928304147609919, 0.4160711442726144, 0.4862951841485065, 0.14001190372112216, 0.3821544246681612, 0.5389722466975142, 0.7503322572977285, 0.16043263503424132, 0.1040315429431804, 0.0077586742848434476, 0.46222253864168517, 0.5427822825442183, 0.14544513356227318, 0.2299122025326512, 0.04096097751966643, 0.9896650204861234, 0.03590649975836824, 0.8376307084132, 0.9997493393690261, 0.2660773558745282, 0.5817240555957052, 0.46092407294363513, 0.6444341545259574, 0.42947123788615615, 0.9080062962136561, 0.2550117721098031, 0.10743488962979286, 0.031779868644014164, 0.6799773664029649, 0.17505308378417828, 0.5544631435366204, 0.990314773501139, 0.5052022423232599, 0.3045109287312996, 0.5979768661277531, 0.17997819931757497, 0.20705627053181352, 0.4021288771610362, 0.09145165040413972, 0.7808889951447124, 0.07757071908847968, 0.4017614844400046, 0.636662645097041, 0.4190568863522173, 0.35857346093099407, 0.2579674596729348, 0.3771679532664878, 0.25030523923612036, 0.7675400938707516, 0.11811462628362757, 0.9616673546301535, 0.04543708207645292, 0.783929158959902, 0.7613848176539264, 0.1831245474726374, 0.8591672568760399, 0.4130858074250465, 0.6162409003698841, 0.5651350480847737, 0.7526746088797477, 0.21151230448868885, 0.0707972184025849, 0.9659838874194223, 0.24527746861649713, 0.7180827012529107, 0.4635923374158475, 0.9061860550269903, 0.14213799624376533, 0.39214355710033555, 0.5348481123844685, 0.48455614526342317, 0.8320562402624366, 0.3886137326737844, 0.8131647407199356, 0.33348768084285874, 0.614564896479274, 0.3807784981864246, 0.9984131688108504, 0.20900789363329697, 0.06229018154376731, 0.6725368729846242, 0.9673608065504924, 0.31428032057080524, 0.35924821834563603, 0.3824520051049799, 0.9668593193831485, 0.49190541813263655, 0.7277349884762933, 0.679104223395674, 0.3522728813100571, 0.9807877814453568, 0.8961189917729976, 0.330602597513028, 0.16244733290118352, 0.8111037271364081, 0.28847171148948203, 0.62748618674103, 0.867596415693708, 0.1040861184572277, 0.20371334303931365, 0.20210207759554677, 0.0753242572520395, 0.09246447780151867, 0.06315469070636959, 0.6539371571020052]",2016,16
"[0.013677203928616155, 0.11188413749441628, 0.2888929965000494, 0.3144112289819907, 0.7593485243934768, 0.12877926458593858, 0.1891676499603291, 0.13802186465334287, 0.24234131914324597, 0.40228467188605244, 0.7718987072191986, 0.519905425581881, 0.3040164725617138, 0.40427948616494014, 0.2803629142836771, 0.8505666773697304, 0.0801281147962658, 0.1780533799325128, 0.735276614500494, 0.31167098667402526, 0.31490056671499334, 0.6598148201619031, 0.04098780596899243, 0.035061022180074786, 0.015497000172913666, 0.5713917986036045, 0.13583497437741876, 0.20403522211408864, 0.22866765085946172, 0.17530945629733796, 0.9037120392524125, 0.6146290618491258, 0.6785048937816658, 0.32761208916885765, 0.1142355158354923, 0.04260821661940106, 0.35531822094231424, 0.19138766060639667, 0.3757903888421732, 0.45284642776481276, 0.08202061472501931, 0.034429937853332815, 0.14436952709924367, 0.7908032291199176, 0.6827997885628998, 0.8135274990783526, 0.25166563082218507, 0.022247537837789655, 0.19718307307508853, 0.2699489089734963, 0.01568406250853427, 0.98240224815688, 0.8728292410006286, 0.9059169051314565, 0.504477068481924, 0.8904045320125769, 0.22053862625703646, 0.37302143235595964, 0.4450418786340239, 0.5324429585733512, 0.7353508307390888, 0.37842762180820855, 0.6843185860690931, 0.13670702774585364, 0.16066720809780244, 0.32639980225602705, 0.5322822375757792, 0.7342778991865686, 0.30589738753049267, 0.3702668344776565, 0.2973954890156004, 0.633040361134758, 0.04462370178726127, 0.6271366603779245, 0.027023113880641048, 0.8767519460661418, 0.7713446330688444, 0.03747976677862652, 0.855392810561745, 0.3148834397115545, 0.9544144813050038, 0.5281488131773867, 0.7263083188903535, 0.2954598033995439, 0.9041151658143458, 0.39990374202374257, 0.1413889556615321, 0.1265773802194411, 0.5686335402082933, 0.559548135433127, 0.8619046303598381, 0.7812010493228514, 0.5757963075235434, 0.8090949433264304, 0.3047893660829748, 0.4946960529642417, 0.7375537479998385, 0.9656196320636938, 0.985538287196174, 0.5634252729555641, 0.36408519632753755, 0.25911624030643765, 0.545448651082321, 0.818006269519199, 0.7660479165467504, 0.6664103054964707, 0.5255489401296196, 0.8362961734683918, 0.6085941735591316, 0.3031797238126077, 0.5561729725993908, 0.6509373886797094, 0.09972606030167108, 0.13817460093452127, 0.21314248462538565, 0.599038546160077, 0.23168121688625332, 0.17490933929491947, 0.6184339831550014, 0.3928557940223877, 0.4707777551235034, 0.42258175881405113, 0.7979110963366085, 0.14724075473583542, 0.6124066246117452, 0.3697114961785566, 0.89251709804391, 0.2914393657426624]",2017,17
"[0.7962164856666603, 0.5630839624255652, 0.9738787577883605, 0.7684001104241646, 0.8568336745138722, 0.9201889302671763, 0.7078178708584354, 0.08337841269553847, 0.38091166546144395, 0.570273408857263, 0.6305335768812145, 0.5085514281464197, 0.6473510049699279, 0.26104980871609484, 0.8876437128495782, 0.4402106556830554, 0.9595711443719426, 0.5726280768305542, 0.8804865109369776, 0.5318340792784714, 0.08558815087868554, 0.5456489425679188, 0.28849390939363706, 0.6499873863327138, 0.0398870578484849, 0.2175579431171698, 0.8611713530866607, 0.5338408243690929, 0.17940995007351412, 0.5752471015848402, 0.7344349156003366, 0.15592384544061255, 0.8383734771406757, 0.19528607730775516, 0.7251003059909362, 0.36443592577773254, 0.5708266142505171, 0.7106219244584953, 0.381178206208181, 0.07419275842910644, 0.28671998635013307, 0.5239392861596313, 0.2519169837330707, 0.47671837470998246, 0.18398793387572765, 0.1460416650707933, 0.7993914313228767, 0.043336320901009806, 0.6038440628079821, 0.587957350221729, 0.3977722512478912, 0.3700086772132273, 0.6359983583834974, 0.82740469045541, 0.1958202513259023, 0.8318967186839112, 0.9408263630828466, 0.7422283649858862, 0.7871410048799081, 0.9211594099225874, 0.8572309949871495, 0.3966935948921553, 0.7498953271395454, 0.15239636848477878, 0.23127496113579693, 0.3418362679576795, 0.02605616921431564, 0.2997080712970689, 0.02917113552617112, 0.6129037336991082, 0.7378490242403579, 0.7787148579075157, 0.8744934853226911, 0.7225081835565822, 0.5264454358127238, 0.20617521690412444, 0.5562117215563883, 0.3826404817689494, 0.2722498170703609, 0.5997037592420682, 0.9962037984567349, 0.038977953075661875, 0.9824953314078908, 0.8521135705089596, 0.35841435103922314, 0.16401919273168042, 0.9750043416476281, 0.6098690921976768, 0.006419637507507514, 0.6921887167417409, 0.5710660441587437, 0.5290881392578852, 0.9878222409051941, 0.5556666974067289, 0.44299932499767314, 0.03440333514654614, 0.41678316959411343, 0.278871942461562, 0.28936821233467613, 0.18623354011143833, 0.13437564388781964, 0.25302183493257957, 0.581787774355327, 0.4858850672192009, 0.6612753153340766, 0.9474984630516038, 0.7682297900374652, 0.21130003721761548, 0.6471295971711906, 0.5445194006145377, 0.9181370478976972, 0.9023843748647343, 0.9070594470931739, 0.6302481744848394, 0.7412041605405729, 0.3173697995350857, 0.6115142481547592, 0.9053530346144183, 0.6251003578673504, 0.14779772851037898, 0.5972142856403847, 0.88881970238154, 0.24331891628117752, 0.08632141840404417, 0.8081467651333328, 0.1650074224805036, 0.9337280236345441, 0.572945681178527]",2018,18
"[0.4340456707805015, 0.8412239553880432, 0.8541156232314754, 0.31506717033553444, 0.7778414418187918, 0.1325166190907594, 0.8364575405761224, 0.9753030930511184, 0.6648088876236149, 0.47487233586076205, 0.5360117510080201, 0.7165441786756607, 0.8710642358740959, 0.20055234775777442, 0.013033935303969235, 0.03863245099394952, 0.3185290640351994, 0.3223317004390066, 0.011873615321557285, 0.22902285700288583, 0.9581460192330966, 0.4097286835249607, 0.8067306826446168, 0.9071232858309323, 0.13922409349387843, 0.24510024105541106, 0.9594033097879627, 0.297739173169865, 0.08105574280539662, 0.07308462606849986, 0.4452877904105952, 0.05443333070362688, 0.22022328790339163, 0.20007816826891345, 0.9094998197645987, 0.6206306733300354, 0.7029607020863139, 0.982343539483178, 0.061773798356808296, 0.39119048764073083, 0.6175003356732454, 0.456470407846833, 0.3048927447556945, 0.2612103120033592, 0.024552248968415236, 0.1005622945015, 0.346814779860967, 0.40087316154610897, 0.45696996116548083, 0.4245366948931719, 0.8418418724787833, 0.5247224834724972, 0.022267788826860313, 0.5405726427187385, 0.04619940235328779, 0.13195036073808208, 0.1693642700225113, 0.5777669399687434, 0.4688258781544209, 0.3889412030251368, 0.9226830114460789, 0.9667182693650173, 0.07412829779845309, 0.47935364200798736, 0.37998217437970083, 0.8223908833620359, 0.16154270704910245, 0.7464677626338222, 0.23988929097982414, 0.16898481103248375, 0.2556326887050283, 0.26038612099877234, 0.9409913868905303, 0.5835555876340388, 0.10160673126262842, 0.7114117085593471, 0.8164941391983334, 0.37536020681709703, 0.7400126477107009, 0.29071259802648375, 0.025802837344443885, 0.14779268452011152, 0.27288343136462856, 0.4921592731249289, 0.7668702501529291, 0.9198771156251091, 0.3541440814155328, 0.6439874590343151, 0.022627011757432647, 0.9845869332572326, 0.7147957957717868, 0.617114777145995, 0.2657202477205085, 0.5110758221609693, 0.18924966450987046, 0.2681590246580058, 0.6570924352644884, 0.9540566262500011, 0.5763353006250096, 0.2574305559067662, 0.205423082172417, 0.5127697751988254, 0.1376030686583437, 0.26984191789123246, 0.18723104415693914, 0.6438254735520983, 0.029555929739451647, 0.721634963027298, 0.7063370607634178, 0.692133512220373, 0.8316501938773622, 0.40092383933159925, 0.8766779388159454, 0.3326590985840202, 0.13650456569503122, 0.7642160057721898, 0.8201501835381114, 0.031279275623422254, 0.1964957050053574, 0.9759470756803734, 0.23645862685231112, 0.4450601078533779, 0.5380137361295289, 0.6506215572387802, 0.10038744821872525, 0.5107181786499317, 0.41526575387705333, 0.45369259816667395]",2019,19
